PROVINCIA,MUNICIPIO,INSTITUCION_EDUCATIVA,SEDE_EDUCATIVA,ZONA,PROYECTOS_CONECTIVIDAD_2024,OPERADOR,ESTADO,MEDIO_ENLACE,ANCHO_BANDA_SUBIDA_MB,ANCHO_BANDA_DESCARGA_MB,FINALIZACION_CONTRATO,LATITUD,LONGITUD
ORIENTE,ALMEIDA,I.E. ENRIQUE SUAREZ,ESC EL ROSAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,4.94506202,-73.38084868
SUGAMUXI,AQUITANIA,I.E. TECNICA RAMON IGNACIO AVELLA,ESC CAJON,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.369444,-72.881389
SUGAMUXI,AQUITANIA,I.E. TECNICA RAMON IGNACIO AVELLA,ESC DAITO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.498777603,-72.91264973
SUGAMUXI,AQUITANIA,I.E. REGION SUR DE AQUITANIA,ESC DIGANOME,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.304167,-72.927778
SUGAMUXI,AQUITANIA,I.E. TECNICA RAMON IGNACIO AVELLA,ESC EL TOBAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.508333,-72.869167
SUGAMUXI,AQUITANIA,I.E. TECNICA RAMON IGNACIO AVELLA,ESC GARAGOA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.511944,-72.883889
SUGAMUXI,AQUITANIA,I.E. TECNICA RAMON IGNACIO AVELLA,ESC HATOLAGUNA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.586463121,-72.89043746
SUGAMUXI,AQUITANIA,I.E. TECNICA RAMON IGNACIO AVELLA,ESC PLAYA Y CHITAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.502775098,-72.90565412
SUGAMUXI,AQUITANIA,I.E. REGION SUR DE AQUITANIA,ESC SAN JUAN DE MOMBITA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.288333,-72.927778
SUGAMUXI,AQUITANIA,I.E. REGION SUR DE AQUITANIA,ESC SISVACA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.304444,-72.922222
SUGAMUXI,AQUITANIA,I.E. TECNICA RAMON IGNACIO AVELLA,ESC SUSACA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.518333,-72.8825
SUGAMUXI,AQUITANIA,I.E. REGION SUR DE AQUITANIA,I.E. REGION SUR DE AQUITANIA - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.296036691,-72.96669619
SUGAMUXI,AQUITANIA,I.E. SUSE,I.E. SUSE - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,4.0,18,12/01/2032 12:00:00 AM,5.4815741,-72.94493902
SUGAMUXI,AQUITANIA,I.E. TOQUILLA,I.E. TOQUILLA - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.523976095,-72.79386704
SUGAMUXI,AQUITANIA,I.E. SUSE,SEDE DEL UPIA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.386667,-72.909722
SUGAMUXI,AQUITANIA,I.E. SUSE,SEDE LA LAJA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.479181,-72.953978
SUGAMUXI,AQUITANIA,I.E. TOQUILLA,SEDE LOS COLORADOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.508611,-72.783056
SUGAMUXI,AQUITANIA,I.E. SUSE,SEDE SAN JOSE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.383333,-72.919444
RICAURTE,ARCABUCO,I.E. TECNICO ALEJANDRO DE HUMBOLDT,ESC PEÑAS BLANCAS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.785068719,-73.46116816
RICAURTE,ARCABUCO,I.E. TECNICO ALEJANDRO DE HUMBOLDT,ESC QUIRVAQUIRA I,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.684024907,-73.36293687
RICAURTE,ARCABUCO,I.E. TECNICO ALEJANDRO DE HUMBOLDT,ESC QUIRVAQUIRA II,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.711550512,-73.375272
TUNDAMA,BELÉN,I.E. TECNICA SUSANA GUILLEMIN,ESC ALTO DE CANUTOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,6.03884512,-72.92356678
TUNDAMA,BELÉN,I.E. TECNICA SUSANA GUILLEMIN,ESC CARACOLES,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.034377,-72.918289
TUNDAMA,BELÉN,I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA,ESC SAN JOSE DE LA MONTAÑA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,6.0342222222222,-73.02388889
LENGUPÁ,BERBEO,I.E. CAMPO ELIAS CORTES,ESC BATATAL BAJO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.17902567,-73.08446044
VALDERRAMA,BETÉITIVA,I.E. TECNICA NUESTRA SEÑORA DE LA O,ESC RURAL SOIQUÍA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.907745,-72.8639
VALDERRAMA,BETÉITIVA,I.E. TECNICA NUESTRA SEÑORA DE LA O,I.E. TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.910076503,-72.86543782
NORTE,BOAVITA,I.E. TECNICO INDUSTRIAL MARISCAL SUCRE,ESC RIO DE ARRIBA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.353359714,-72.59594713
NORTE,BOAVITA,I.E. TECNICO AGRICOLA,ESC RURAL CHULAVITA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.412089417,-72.61656296
NORTE,BOAVITA,I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO,ESC RURAL EL MELONAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.312631564,-72.60748278
NORTE,BOAVITA,I.E. TECNICO AGRICOLA,ESC SAN FRANCISCO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,6.398617062,-72.63102039
MÁRQUEZ,BOYACÁ,I.E. TECNICA AGROPECUARIA SAN ISIDRO,ESC HUERTAS N· 2,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.429376466,-73.41392399
MÁRQUEZ,BOYACÁ,I.E. DE BOYACA,ESC PACHAQUIRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.434503002,-73.36231744
MÁRQUEZ,BOYACÁ,I.E. DE BOYACA,ESC RIQUE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.447218842,-73.3884582
MÁRQUEZ,BOYACÁ,I.E. DE BOYACA,ESC RUPAGUATA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.437739069,-73.34608
OCCIDENTE,BRICEÑO,I.E. TECNICA MANUEL BRICEÑO,COL BAS MEDIA LUNA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.714868143,-73.90014783
OCCIDENTE,BRICEÑO,I.E. TECNICA MANUEL BRICEÑO,ESC PALO BLANCO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.667707226,-73.91139673
OCCIDENTE,BRICEÑO,I.E. TECNICA MANUEL BRICEÑO,ESC RURAL TARPEYA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.703875034,-73.92652415
OCCIDENTE,BUENAVISTA,I.E. TECNICA AGROPECUARIA LA GRANJA,I.E. TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.476667,-73.943611
OCCIDENTE,BUENAVISTA,I.E. JOSE MARIA SILVA SALAZAR,ESC HONDA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.5119459,-73.95504923
OCCIDENTE,BUENAVISTA,I.E. JOSE MARIA SILVA SALAZAR,ESC NARANJITOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.49169854,-73.93634034
OCCIDENTE,BUENAVISTA,I.E. JOSE MARIA SILVA SALAZAR,ESC PATIÑO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.49169854,-73.93634034
OCCIDENTE,CALDAS,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,ESC ANTONIO NARIÑO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.595833,-73.861667
OCCIDENTE,CALDAS,I.E. FRANCISCO JOSE DE CALDAS,ESC CHINGAGUTA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.541393,-73.896675
OCCIDENTE,CALDAS,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,ESC EL PALMAR,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.590192662,-73.88909001
OCCIDENTE,CALDAS,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,ESC QUIPE CERRO ALTO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.581944,-73.8625
OCCIDENTE,CALDAS,I.E. FRANCISCO JOSE DE CALDAS,ESC TIERRA NEGRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.558336438,-73.90304674
LENGUPÁ,CAMPOHERMOSO,I.E. TECNICA MARIA AUXILIADORA,ESC CENTRO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.017563,-73.205673
LENGUPÁ,CAMPOHERMOSO,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,ESC RUR COLOMBIA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.018611,-73.08
LENGUPÁ,CAMPOHERMOSO,I.E. TECNICA MARIA AUXILIADORA,ESC RUR HOYA GRANDE SAN JOSE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.043713442,-73.22386271
LENGUPÁ,CAMPOHERMOSO,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,ESC RUR HUERTA VIEJA ARRIBA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.029722,-73.096389
LENGUPÁ,CAMPOHERMOSO,I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,ESC RUR YOTEGUENGUE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.004722,-73.050278
LENGUPÁ,CAMPOHERMOSO,I.E. TECNICA MARIA AUXILIADORA,I.E. TECNICA MARIA AUXILIADORA - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.013333,-73.105
TUNDAMA,CERINZA,I.E. DE CERINZA,ESC RUR COBAGOTE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.944737,-72.969455
TUNDAMA,CERINZA,I.E. DE CERINZA,ESC RUR NOVARE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.93692208,-72.94243128
NEIRA,CHINAVITA,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,ESC ZANJA ABAJO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.1425,-73.359722
NEIRA,CHINAVITA,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,ESC ZANJA ARRIBA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.154493535,-73.34919658
NEIRA,CHINAVITA,I.E. JUAN DE JESUS ACEVEDO,I.E. JUAN DE JESUS ACEVEDO - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.166111,-73.356389
NEIRA,CHINAVITA,I.E. JUAN DE JESUS ACEVEDO,NSTRA SRA DEL CARMEN,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.216111,-73.347778
OCCIDENTE,CHIQUINQUIRÁ,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,COL.DE ED. BAS. SAN FRANCISCO DE ASIS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.604722,-73.83
OCCIDENTE,CHIQUINQUIRÁ,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,COLEGIO DE EDUCACION BASICA VARELA DE CHIQUINQUIRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.675627096,-73.87396975
OCCIDENTE,CHIQUINQUIRÁ,I.E. TECNICA PIO ALBERTO FERRO PEÑA,ESC CASABLANCA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.636147377,-73.80325842
OCCIDENTE,CHIQUINQUIRÁ,I.E. TECNICA LOS COMUNEROS,I.E. TECNICA LOS COMUNEROS - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,4.0,18,12/01/2032 12:00:00 AM,5.6162315716,-73.739617615
OCCIDENTE,CHIQUINQUIRÁ,I.E. TECNICA LOS COMUNEROS,SEDE MOYAVITA LA CAPILLA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.604722,-73.7225
OCCIDENTE,CHIQUINQUIRÁ,I.E. TECNICA LOS COMUNEROS,SEDE SASA ALTO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.629758524,-73.72359406
CENTRO,CHÍQUIZA,I.E. TECNICA SAN PEDRO DE IGUAQUE,COL DE EDUC BAS VALDEMAR FRANKLIN QUINTERO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.6065,-73.48361111
CENTRO,CHÍQUIZA,I.E. TECNICA SAN PEDRO DE IGUAQUE,ESC EL MONTE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.615291,-73.455246
CENTRO,CHÍQUIZA,I.E. TECNICA EL CERRO,ESC LLANO GRANDE,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.631929,-73.409202
CENTRO,CHÍQUIZA,I.E. TECNICA SAN PEDRO DE IGUAQUE,ESC PATIECITOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,5.641633539,-73.45028654
CENTRO,CHÍQUIZA,I.E. TECNICA SAN PEDRO DE IGUAQUE,ESC RONDON,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.650833,-73.483056
CENTRO,CHÍQUIZA,I.E. TECNICA EL CERRO,ESC RURAL RILKA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.633628,-73.424551
CENTRO,CHÍQUIZA,I.E. TECNICA EL CERRO,ESC VERGARA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.684999216,-73.38408994
CENTRO,CHÍQUIZA,I.E. TECNICA SAN PEDRO DE IGUAQUE,ESC VILLA ROSITA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.58495564,-73.49445696
GUTIÉRREZ,CHISCAS,I.E. JAIME RUIZ CARRILLO,ESC EL LIMON,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.516457346,-72.52621045
GUTIÉRREZ,CHISCAS,I.E. LAS MERCEDES,ESC LA MESETA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.551389,-72.446944
GUTIÉRREZ,CHISCAS,I.E. LAS CAÑAS,ESC LA PERLA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.573923,-72.491416
GUTIÉRREZ,CHISCAS,I.E. LAS CAÑAS,ESC RINCONCITOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.613333,-72.474167
GUTIÉRREZ,CHISCAS,I.E. JAIME RUIZ CARRILLO,I.E. JAIME RUIZ CARRILLO - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,6.537858432,-72.52888582
GUTIÉRREZ,CHISCAS,I.E. LAS CAÑAS,I.E. LAS CAÑAS - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,6.603333,-72.484167
GUTIÉRREZ,CHISCAS,I.E. LAS MERCEDES,I.E. LAS MERCEDES - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,15,12/01/2032 12:00:00 AM,6.576048781,-72.46910186
VALDERRAMA,CHITA,I.E. JOSE MARIA POTIER,SEDE CHIPA BETEL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.176715803,-72.49498527
VALDERRAMA,CHITA,I.E. JOSE MARIA POTIER,SEDE DIMIZA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.175772,-72.487152
VALDERRAMA,CHITA,I.E. JOSE MARIA POTIER,SEDE EL HELECHAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.169167,-72.494167
VALDERRAMA,CHITA,I.E. JOSE MARIA POTIER,SEDE EL MORTIÑAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.151389,-72.427222
VALDERRAMA,CHITA,I.E. JESUS EMILIO JARAMILLO MONSALVE,SEDE EL RESGUARDO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,6.16333,-72.48606
VALDERRAMA,CHITA,I.E. JOSE MARIA POTIER,SEDE LA FLORESTA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.92,-72.389167
VALDERRAMA,CHITA,I.E. JOSE MARIA POTIER,SEDE LA FLORESTA UNO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3.0,12,12/01/2032 12:00:00 AM,5.939722,-72.4275
